Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
WINGDEX-TAXA-001,Brant (Gray-bellied),Branta bernicla (Gray-bellied),318.0,X,US-WA,King,L90020001,Discovery Park,47.6587,-122.4050,2026-04-12,08:10 AM,eBird - Traveling Count,75,1,2.4,,2,,,Diverse taxonomy fixture checklist.,
WINGDEX-TAXA-001,Rock Pigeon (Wild type),Columba livia (Wild type),1854.0,3,US-WA,King,L90020001,Discovery Park,47.6587,-122.4050,2026-04-12,08:10 AM,eBird - Traveling Count,75,1,2.4,,2,,,Diverse taxonomy fixture checklist.,
WINGDEX-TAXA-001,Velvet/White-winged/Stejneger's Scoter,Melanitta fusca/deglandi/stejnegeri,734.0,X,US-WA,King,L90020001,Discovery Park,47.6587,-122.4050,2026-04-12,08:10 AM,eBird - Traveling Count,75,1,2.4,,2,,,Diverse taxonomy fixture checklist.,
WINGDEX-TAXA-001,Common/Somali Ostrich,Struthio camelus/molybdophanes,8.0,2,US-WA,King,L90020001,Discovery Park,47.6587,-122.4050,2026-04-12,08:10 AM,eBird - Traveling Count,75,1,2.4,,2,,,Diverse taxonomy fixture checklist.,
WINGDEX-TAXA-001,Rock/Hill Pigeon,Columba livia/rupestris,1872.0,X,US-WA,King,L90020001,Discovery Park,47.6587,-122.4050,2026-04-12,08:10 AM,eBird - Traveling Count,75,1,2.4,,2,,,Diverse taxonomy fixture checklist.,
WINGDEX-TAXA-001,Western/Glaucous-winged Gull,Larus occidentalis/glaucescens,6601.0,X,US-WA,King,L90020001,Discovery Park,47.6587,-122.4050,2026-04-12,08:10 AM,eBird - Traveling Count,75,1,2.4,,2,,,Diverse taxonomy fixture checklist.,
WINGDEX-TAXA-001,Baikal x Green-winged Teal (hybrid),Sibirionetta formosa x Anas crecca,616.0,1,US-WA,King,L90020001,Discovery Park,47.6587,-122.4050,2026-04-12,08:10 AM,eBird - Traveling Count,75,1,2.4,,2,,,Diverse taxonomy fixture checklist.,
WINGDEX-TAXA-001,Greater White-fronted x Cackling/Canada Goose (hybrid),Anser albifrons x Branta hutchinsii/canadensis,357.0,1,US-WA,King,L90020001,Discovery Park,47.6587,-122.4050,2026-04-12,08:10 AM,eBird - Traveling Count,75,1,2.4,,2,,,Diverse taxonomy fixture checklist.,
WINGDEX-TAXA-001,Western x Glaucous-winged Gull (hybrid),Larus occidentalis x glaucescens,6597.0,1,US-WA,King,L90020001,Discovery Park,47.6587,-122.4050,2026-04-12,08:10 AM,eBird - Traveling Count,75,1,2.4,,2,,,Diverse taxonomy fixture checklist.,
WINGDEX-TAXA-002,Greater White-fronted x Cackling Goose (hybrid),Anser albifrons x Branta hutchinsii,340.0,1,GB-ENG,Greater London,L90020002,Hyde Park,51.5074,-0.1657,2026-05-03,09:20 AM,eBird - Traveling Count,68,1,1.9,,1,,,Diverse taxonomy fixture checklist.,
